,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,1ST,2ND,3RD,YEAR
0,Dustin Johnson,78,"5,422",- 26.444,"46,504",148,630,"1,095",951,"1,404",-0.37,18.550,59,1.138,.457,.055,118.019,59,21,3,14,0,,3,1,2,2016
1,Jason Day,68,"4,743",- 26.482,"41,321",136,484,955,823,"1,224",-0.34,58.926,53,.187,.390,.395,110.445,53,19,3,10,"1,780",,3,1,1,2016
2,Jordan Spieth,72,"5,019",- 17.042,"40,149",136,590,"1,007",826,"1,296",-0.34,40.542,54,.412,.221,.331,92.590,54,20,2,8,"2,418",,2,1,1,2016
3,Adam Scott,72,"5,029",- 26.877,"38,975",128,562,"1,008",914,"1,296",-0.28,-6.017,52,.576,1.490,.043,103.632,52,19,2,8,"1,710",,2,2,,2016
4,Phil Mickelson,68,"4,757",- 29.701,"40,034",136,532,951,812,"1,224",-0.31,34.598,55,-.024,.688,.217,83.048,55,21,0,6,"3,257",,,3,1,2016
5,Rory McIlroy,58,"4,070",- 21.507,"33,068",108,500,812,721,"1,044",-0.32,-9.513,44,1.192,.428,.193,70.247,44,17,1,7,"1,966",,1,,1,2016
6,Matt Kuchar,92,"6,445",- 20.590,"52,615",184,840,"1,284","1,121","1,656",-0.29,32.330,73,.357,.348,.246,101.738,73,25,0,10,"3,314",,,,3,2016
7,Brooks Koepka,70,"4,909",- 12.091,"42,359",140,576,983,844,"1,260",-0.31,26.681,60,.542,.139,-.033,65.547,60,21,0,7,"3,648",,,2,1,2016
8,Steve Stricker,53,"3,709",.811,"29,471",106,466,737,601,954,-0.29,27.895,45,-.440,-.003,.544,32.433,45,15,0,3,"4,374",,,1,,2016
9,Sergio Garcia,51,"3,590",- 20.062,"25,792",86,441,714,644,918,-0.26,-12.029,31,.737,.482,-.031,24.818,31,15,1,4,"3,623",,1,1,,2016
10,Charl Schwartzel,66,"4,643",- 22.334,"36,702",124,534,920,817,"1,188",-0.26,-8.540,52,.363,.707,.209,57.992,52,18,1,4,"3,582",,1,,,2016
11,Paul Casey,70,"4,924",- 20.313,"36,518",124,640,980,889,"1,260",-0.24,6.320,53,.526,.566,.125,70.785,53,21,0,6,"1,937",,,2,,2016
12,Hideki Matsuyama,69,"4,847",- 10.076,"37,106",126,605,966,850,"1,242",-0.30,-7.200,54,.585,.859,-.007,70.394,54,22,1,7,"3,333",,1,,1,2016
13,Rickie Fowler,77,"5,403",- 3.938,"44,029",146,635,"1,082",960,"1,386",-0.28,9.807,64,.529,.308,.387,88.176,64,23,0,8,"3,582",,,1,,2016
14,Jim Furyk,52,"3,670",- 23.246,"29,203",104,503,728,639,936,-0.22,2.965,44,-.234,.465,.232,23.316,44,14,0,3,"4,444",,,1,,2016
15,Patrick Reed,97,"6,802",.583,"52,904",178,749,"1,329","1,110","1,710",-0.29,22.747,74,.199,.205,.432,84.601,74,27,1,11,986,,1,2,,2016
16,Justin Rose,62,"4,381",- 31.852,"37,687",124,502,867,758,"1,116",-0.27,-9.639,49,.678,.409,.237,55.269,49,18,0,5,"3,998",,,,1,2016
17,Kevin Na,89,"6,242",1.164,"45,255",162,814,"1,241","1,068","1,602",-0.29,8.802,65,-.291,.833,.212,57.867,65,25,0,8,"3,462",,,2,2,2016
18,Brandt Snedeker,85,"5,970",- 3.532,"49,716",170,702,"1,193","1,010","1,530",-0.28,26.498,71,-.004,.215,.304,74.160,71,26,1,7,"3,072",,1,1,2,2016
19,Branden Grace,60,"4,247",- 34.749,"30,742",104,461,836,721,"1,080",-0.26,-4.403,42,.326,.603,.032,35.923,42,18,1,6,"3,746",,1,,,2016
20,Ryan Palmer,86,"6,048",- 8.305,"52,410",172,694,"1,199","1,050","1,548",-0.29,-7.314,78,.625,.242,.000,60.360,78,23,0,3,"3,644",,,,1,2016
