,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,FEDEXCUP STROKES,1ST,2ND,3RD,YEAR
0,Webb Simpson,52,"3,539",47.881,"30,800",104,490,728,663,936,-0.36,30.056,51,.123,.640,.244,81.422,51,14,2,8,,-6,2,1,2,2020
1,Jon Rahm,58,"3,991",18.356,"35,682",116,515,816,734,"1,044",-0.33,27.326,57,.756,.283,.304,103.920,57,15,2,8,,-8,2,1,1,2020
2,Justin Thomas,66,"4,538",24.461,"35,286",116,529,924,827,"1,188",-0.34,-1.816,58,.405,.997,.339,99.147,58,18,3,10,,-7,3,2,1,2020
3,Rory McIlroy,60,"4,146",7.155,"32,660",104,471,836,732,"1,080",-0.33,-3.618,51,.702,.504,.108,63.401,51,15,1,7,,-3,1,,2,2020
4,Xander Schauffele,70,"4,832",13.902,"37,868",124,591,980,893,"1,260",-0.31,22.355,61,.648,.366,.225,97.935,61,18,0,7,,-3,,3,1,2020
5,Daniel Berger,64,"4,403",28.197,"36,025",120,569,891,771,"1,152",-0.32,29.450,56,.366,.396,.271,87.337,56,17,1,7,,-4,1,1,2,2020
6,Bryson DeChambeau,62,"4,263",29.931,"39,945",124,498,868,764,"1,116",-0.34,40.776,62,1.039,-.090,-.041,97.074,62,17,1,9,,-4,1,1,1,2020
7,Dustin Johnson,49,"3,378",18.845,"30,477",98,407,689,611,882,-0.35,12.722,47,.612,.524,.002,66.209,47,14,3,7,,-10,3,2,,2020
8,Harris English,76,"5,254",27.673,"45,732",152,657,"1,064",970,"1,368",-0.29,35.253,68,.215,.454,.279,99.728,68,20,0,6,,-4,,1,1,2020
9,Tyrrell Hatton,42,"2,901",18.304,"20,510",68,363,588,524,756,-0.33,12.403,34,.188,.694,.184,48.637,34,11,1,6,,-2,1,,1,2020
10,Patrick Reed,74,"5,136",13.399,"39,073",132,581,"1,036",870,"1,332",-0.34,38.938,65,.278,.102,.316,84.154,65,20,1,8,,-3,1,1,,2020
11,Scottie Scheffler,82,"5,680",36.165,"50,667",164,703,"1,148","1,019","1,476",-0.32,-3.730,70,.618,.398,.115,75.461,70,23,0,7,,-2,,,2,2020
12,Patrick Cantlay,46,"3,201",8.135,"27,884",92,384,647,566,828,-0.32,9.642,44,.404,.523,.170,57.911,44,12,0,3,0,,,1,,2020
13,Hideki Matsuyama,74,"5,137",25.668,"37,744",124,588,"1,032",913,"1,332",-0.30,-28.613,61,.285,.690,.458,58.815,61,20,0,5,,-4,,1,2,2020
14,Collin Morikawa,80,"5,566",22.505,"42,816",144,734,"1,120",994,"1,440",-0.31,-7.044,71,.440,.884,.005,87.387,71,21,2,7,,-5,2,1,,2020
15,Abraham Ancer,74,"5,147",25.036,"36,896",124,665,"1,032",892,"1,332",-0.29,18.354,56,.328,.335,-.093,50.241,56,20,0,4,,-1,,2,,2020
16,Gary Woodland,62,"4,318",17.684,"32,983",108,521,868,761,"1,116",-0.31,17.994,53,.052,.601,-.210,41.495,53,17,0,6,0,,,,1,2020
17,Adam Scott,38,"2,647",12.114,"18,483",60,293,528,466,684,-0.31,8.071,30,-.056,.268,.424,27.160,30,10,1,1,0,,1,,,2020
18,Sungjae Im,94,"6,539",39.769,"49,276",164,846,"1,312","1,135","1,692",-0.31,18.384,79,.437,.106,.007,61.938,79,26,1,7,,-4,1,1,2,2020
19,Tony Finau,72,"4,998",41.441,"39,655",128,520,"1,004",892,"1,296",-0.31,8.246,59,.341,.497,.266,73.346,59,20,0,7,,-2,,1,1,2020
20,Brian Harman,78,"5,415",48.216,"45,715",156,691,"1,092",922,"1,404",-0.31,21.859,71,.115,-.018,.362,54.466,71,22,0,1,0,,,,1,2020
21,Viktor Hovland,74,"5,160",24.447,"39,512",132,652,"1,031",912,"1,332",-0.32,-2.776,58,.447,.633,-.243,45.755,58,20,1,3,,E,1,,1,2020
22,Matt Fitzpatrick,54,"3,789",- 5.222,"27,114",92,485,751,642,972,-0.30,38.741,44,.206,.094,-.113,46.946,44,15,0,5,0,,,,1,2020
23,Alex Noren,56,"3,900",27.139,"33,153",112,455,783,653,"1,008",-0.30,17.987,45,-.231,.039,.443,29.304,45,17,0,4,0,,,,1,2020
