,Player_Name,Rounds,Fairway_Percentage,Year,Avg_Distance,gir,Average_Putts,Average_Scrambling,Average_Score,Points,Wins,Top_10,Average_SG_Putts,Average_SG_Total,SG_OTT,SG_APR,SG_ARG,Money,driving_ranking,best_putters,best_approachers,best_pw,Predictive_Ranking
320,Dustin Johnson,77,59.46,2018,314.0,70.57,28.47,62.5,68.69800000000001,2717,3,10,0.385,2.372,0.919,0.8290000000000001,0.23800000000000002,8457352,374,327,374,320,639.950025
343,Justin Thomas,91,58.41,2018,311.8,68.77,28.33,62.47,69.118,2634,3,8,0.272,1.835,0.408,0.8440000000000001,0.311,8694821,368,286,376,343,637.1608349999999
335,Justin Thomas,86,54.09,2017,309.3,67.33,28.29,60.54,69.359,2689,4,9,0.332,1.724,0.452,0.738,0.289,9921560,359,302,371,335,631.097655
358,Tiger Woods,68,59.35,2018,303.6,67.4,28.49,64.16,69.35,1162,0,5,0.266,1.5959999999999999,0.061,0.883,0.385,5443841,325,284,377,358,626.240122
372,Justin Rose,70,66.02,2018,303.5,69.95,28.67,63.03,68.993,1991,2,8,0.424,1.952,0.551,0.526,0.45,8130678,323,338,348,372,625.754451
312,Tony Finau,105,55.09,2018,315.1,70.18,29.03,57.22,69.52,1509,0,8,0.23199999999999998,1.435,0.48100000000000004,0.5,0.222,5620138,377,270,339,312,597.212556
353,Rickie Fowler,78,63.29,2017,300.5,66.98,28.32,62.85,69.083,1832,1,9,0.852,1.875,0.37799999999999995,0.408,0.349,6083197,287,381,313,353,590.479508
339,Tommy Fleetwood,73,64.98,2018,306.9,69.36,29.3,55.77,69.342,1130,0,5,0.324,1.6059999999999999,0.58,0.405,0.29600000000000004,3935147,347,299,312,339,585.337167
368,Jordan Spieth,85,59.48,2017,295.0,69.97,28.34,61.75,68.846,2671,3,8,0.278,1.9880000000000002,0.321,0.8959999999999999,0.429,9433033,198,290,379,368,582.295739
227,Bryson DeChambeau,93,62.23,2018,305.7,69.65,29.18,59.84,69.646,1617,1,7,0.34600000000000003,1.558,0.586,0.556,0.07,8094489,337,313,356,227,569.571399
