,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,1ST,2ND,3RD,YEAR
0,Rory McIlroy,54,"3,760",- 40.848,"32,868",106,428,756,645,972,-0.33,2.336,40,1.072,1.002,0.273,96.228,40,16.0,4.0,10.0,"1,273",4.0,2.0,1.0,2012
1,Tiger Woods,67,"4,675",- 58.454,"39,856",134,599,937,815,"1,206",-0.29,16.282,48,0.5529999999999999,1.224,0.19399999999999998,110.89399999999999,48,19.0,3.0,9.0,"1,437",3.0,1.0,2.0,2012
2,Jim Furyk,84,"5,888",- 66.464,"46,477",166,828,"1,171","1,031","1,512",-0.25,27.493000000000002,65,0.225,0.83,0.275,113.906,65,23.0,0.0,7.0,"3,310",,2.0,1.0,2012
3,Jason Dufner,82,"5,731",- 35.636,"47,367",162,764,"1,142","1,021","1,476",-0.29,9.777000000000001,64,0.5529999999999999,0.519,0.222,92.54899999999999,64,22.0,2.0,8.0,"3,247",2.0,1.0,,2012
4,Matt Kuchar,82,"5,743",- 45.884,"46,936",164,743,"1,142",965,"1,476",-0.27,31.151,66,0.11,0.49,0.309,91.204,66,22.0,1.0,9.0,"3,393",1.0,,1.0,2012
5,Adam Scott,58,"4,091",- 58.096,"35,335",116,484,812,695,"1,044",-0.28,-5.66,41,0.605,0.494,0.203,47.708999999999996,41,16.0,0.0,5.0,"3,540",,1.0,1.0,2012
6,Justin Rose,68,"4,775",- 45.636,"39,277",135,624,948,861,"1,224",-0.25,-6.468,53,0.355,0.84,0.5670000000000001,86.90899999999999,53,19.0,1.0,8.0,"2,330",1.0,1.0,1.0,2012
7,Dustin Johnson,67,"4,702",- 41.188,"40,948",132,527,936,793,"1,206",-0.29,9.8,53,0.72,0.638,-0.035,79.962,53,19.0,1.0,9.0,"2,573",1.0,,1.0,2012
8,Bubba Watson,66,"4,619",- 22.814,"41,652",132,546,928,831,"1,188",-0.3,-14.300999999999998,51,1.485,0.265,0.059000000000000004,77.959,51,19.0,1.0,7.0,"3,095",1.0,2.0,,2012
9,Luke Donald,62,"4,362",- 41.405,"34,729",124,563,864,725,"1,116",-0.28,39.258,48,-0.188,0.5820000000000001,0.43,78.789,48,17.0,1.0,8.0,"2,825",1.0,,2.0,2012
